subject01.gif	12231322221120122130212221303032
subject01.glasses	12011120201321132122212021302122
subject01.happy	12011120201321132122212003322122
subject01.leftlight	12232310223230122122213021323032
subject01.noglasses	12231122201021102122212321232121
subject01.normal	12011120221121122112212121322132
subject01.rightlight	02133233211321133132313331333333
subject01.sad	12011120221121122122212121322122
subject01.sleepy	12011122221121132122212121322122
subject01.surprised	12031122221120122132212123122132
subject01.wink	12031122231121122122212021322121
subject02.centerlight	12231202201020302110210321232130
subject02.glasses	12032123201020102132212221222123
subject02.happy	12032323201020102130210221222123
subject02.leftlight	12232303203020302103210321232121
subject02.noglasses	12032322201020102130210221222121
subject02.normal	12032322201020102130210221222121
subject02.rightlight	02133123203021112103212321233133
subject02.sad	12032323201020102130212221222123
subject02.sleepy	12032323201020102130212221222121
subject02.surprised	12032323201020102130221021222122
subject02.wink	12032323201020102122212221222123
subject03.centerlight	12012120211221123122212021222302
subject03.glasses	12012120211221133120212001210303
subject03.happy	12112130210321033020213021310303
subject03.leftlight	12012303201220322120213021212303
subject03.noglasses	12112120210321033120213020300301
subject03.normal	12112120210321033120213020300301
subject03.rightlight	02313033311321123123312331333333
subject03.sad	12112120211221033120212130300301
subject03.sleepy	12112120211321033120213021310303
subject03.surprised	12102120210321033021303130302030
subject03.wink	12112120210321233020213021300303
subject04.centerlight	12013022201020102130212221222122
subject04.glasses	12032022211020102130211121222103
subject04.happy	12032022201021102120210321222103
subject04.leftlight	12232311223220122130212021202123
subject04.noglasses	12032022201021102120210221222122
subject04.normal	12033022201021102120210321222103
subject04.rightlight	02113033211321123132313231333133
subject04.sad	12033022201021102120210321222103
subject04.sleepy	12033022201021102120211121232103
subject04.surprised	12032022201021102120210321222102
subject04.wink	12032032201021102122210221222122
subject05.centerlight	12032102211021323122212031222121
subject05.glasses	12032122211021321022203011222122
subject05.happy	12032122211021121022323111222122
subject05.leftlight	12032322211220322312213021012121
subject05.noglasses	12032122211021321022323111222122
subject05.normal	12032122211021321022323111222122
subject05.rightlight	02133133311131333133313331233133
subject05.sad	12032122211021121022323131222120
subject05.sleepy	12032122211021121022223111222122
subject05.surprised	12032122211021321022321021222122
subject05.wink	12032122211021321022323111222122
subject06.centerlight	03320333330031033021303130313023
subject06.glasses	03333012312131213010301030123012
subject06.happy	03323132312131213000300030123012
subject06.leftlight	13132333230021012033201330332033
subject06.noglasses	03323132312131213000300030123012
subject06.normal	03323132312131213000300030123012
subject06.rightlight	03301213330031233021302130333031
subject06.sad	03323132312131213010300030123012
subject06.sleepy	03323132312131203000301230123012
subject06.surprised	03333012312131203010301030123000
subject06.wink	03323112312131213000300030123012
subject07.centerlight	12112130211221122122211221202132
subject07.glasses	12012120301321123130212121202121
subject07.happy	12112120211221122120212121202131
subject07.leftlight	12012130201321322130212021302123
subject07.noglasses	12112131210221123020212121200313
subject07.normal	12112131210221123020212121200313
subject07.rightlight	02113031311231123123313331313131
subject07.sad	12112120301221322120212121301203
subject07.sleepy	12112131311221123120212121200313
subject07.surprised	12012131301221322120212121301313
subject07.wink	12112121210221323031212121310312
subject08.centerlight	13013021211330122120302321303031
subject08.glasses	12012120211320123020312021210121
subject08.happy	12012121210221020130303230303031
subject08.leftlight	13002301211320132131211220302033
subject08.noglasses	12012121211220122130312221202121
subject08.normal	12012120211320123020312021210121
subject08.rightlight	02013230311331123132312221333133
subject08.sad	12012121211221120120213221212130
subject08.sleepy	03002121210331032031303330313030
subject08.surprised	12112121211221322120212021212123
subject08.wink	12012121211220122130313221202121
subject09.centerlight	12112120301221122120212121212121
subject09.glasses	12112123211221122122212121212121
subject09.happy	12102130300321033031303030303031
subject09.leftlight	12102303211221122120212121302031
subject09.noglasses	12102130300321033021303030303031
subject09.normal	12102130300321033021303030303031
subject09.rightlight	02113032301231023121313131213121
subject09.sad	12102130300321033031303130301230
subject09.sleepy	13102130300321033021303030303030
subject09.surprised	03002120300321033031303030303031
subject09.wink	03002132300321033021303030303030
subject10.centerlight	12212102221120122122213021222122
subject10.glasses	12012122201320122120212221222121
subject10.happy	12012120201320132132212221212120
subject10.leftlight	12012303221320122120213021202120
subject10.noglasses	12012120201320122120212221202122
subject10.normal	12012120201320122122310221202121
subject10.rightlight	12013322301321132132213221223122
subject10.sad	12012120201320122120212221202121
subject10.sleepy	12012120221320122122212221202121
subject10.surprised	12012120201320122122212201202122
subject10.wink	12012120201320122122212221202123
subject11.centerlight	12222211201121303122233031222111
subject11.glasses	12222211201321203122213111222121
subject11.happy	12222211201121202122232331222123
subject11.leftlight	13202213201321302132213021322123
subject11.noglasses	12202213201321203122213113222130
subject11.normal	12222211201121202122232311222123
subject11.rightlight	12023211201321302132333001222313
subject11.sad	12232211201121301130221111222131
subject11.sleepy	12202213201321203122233111222121
subject11.surprised	12222211201121302122212312222130
subject11.wink	12202213201321203122231011222121
subject12.centerlight	12232121201020100122212021222102
subject12.glasses	12232123211020100122313221222122
